post_id,status,title,date,author,content_chars,link
27583,publish,Instructivos para plataformas de teleclase,2020-03-26 15:27:02,masteruni,1413,https://www.uniremington.edu.co/instructivos-para-plataformas-de-teleclase/
49868,publish,Internacionalización en Uniremington Manizales,2023-06-02 15:42:59,masteruni,4488,https://www.uniremington.edu.co/internacionalizacion-en-uniremington-manizales/
44556,publish,Intersedes Uniremington - Regional Norte,2022-06-02 21:12:49,masteruni,6627,https://www.uniremington.edu.co/intersedes-uniremington-regional-norte/
49535,publish,Investigación formativa en instituciones de educación primaria,2023-04-26 12:56:00,masteruni,3864,https://www.uniremington.edu.co/investigacion-formativa-en-instituciones-de-educacion-primaria/
62458,publish,Investigación: fructosa artificial y desarrollo cerebral,2025-03-03 20:04:47,webcreativa,6905,https://www.uniremington.edu.co/investigacion-fructosa-artificial-y-desarrollo-cerebral/
39776,publish,IV Evento de Semilleros Uniremington Investiga,2021-06-17 20:02:15,webcreativa,1231,https://www.uniremington.edu.co/iv-evento-de-semilleros-uniremington-investiga/
52813,publish,Jornada de investigación formativa,2023-10-27 14:32:34,masteruni,8192,https://www.uniremington.edu.co/jornada-de-investigacion-formativa/
17642,publish,Jornada de salud Uniremington: “Hablar de sexualidad ya no es tabú”,2019-05-30 22:23:04,webcreativa,4053,https://www.uniremington.edu.co/jornada-de-salud-uniremington-hablar-de-sexualidad-ya-no-es-tabu/
43679,publish,Jornada de Salud Visual,2022-04-26 20:17:57,masteruni,778,https://www.uniremington.edu.co/jornada-de-salud-visual/
55822,publish,Jornadas académicas en jornadas de racionamiento de agua,2024-04-10 12:46:08,webcreativa,2339,https://www.uniremington.edu.co/jornadas-academicas-en-jornadas-de-racionamiento-de-agua/
51015,draft,Jornadas de bienestar en Uniremington Medellín,2023-08-14 19:34:43,masteruni,1978,https://www.uniremington.edu.co/?p=51015
58810,publish,"Jornadas de “Conciliatón”, un éxito",2024-09-25 18:44:19,webcreativa,5596,https://www.uniremington.edu.co/jornadas-de-conciliaton-un-exito/
46437,publish,Jornadas gratuitas de conciliación y de asesorías jurídicas,2022-09-09 20:39:32,masteruni,5321,https://www.uniremington.edu.co/jornadas-gratuitas-de-conciliacion-y-de-asesorias-juridicas/
23002,publish,Juegos de mesas abren el cronograma deportivo.,2019-09-04 16:52:28,webcreativa,693,https://www.uniremington.edu.co/juegos-de-mesas-abren-el-cronograma-deportivo/
58132,publish,Juramento de futuros abogados,2024-08-15 21:39:09,webcreativa,5487,https://www.uniremington.edu.co/juramento-de-futuros-abogados/
68779,publish,Juramento ético de estudiantes que inician prácticas en consultorio jurídico,2026-03-06 16:55:08,acontreras,8756,https://www.uniremington.edu.co/juramento-etico-de-estudiantes-para-consultorio-juridico/
33000,publish,La conciliación a tu servicio,2020-09-04 22:03:42,masteruni,2330,https://www.uniremington.edu.co/la-conciliacion-a-tu-servicio/
47146,publish,La FLA convoca a practicantes para 2023-1,2022-10-10 14:03:57,masteruni,4689,https://www.uniremington.edu.co/la-fla-convoca-a-practicantes-para-2023-1/
41473,publish,La importancia de las zonas francas,2021-10-15 21:13:29,masteruni,5795,https://www.uniremington.edu.co/la-importancia-de-las-zonas-francas/
46206,publish,La investigación y la educación para la inclusión,2022-08-29 12:36:13,masteruni,4832,https://www.uniremington.edu.co/la-investigacion-y-la-educacion-para-la-inclusion/
26760,publish,La RHS incluida en la plataforma del CvLAC de Colciencias,2020-02-28 21:17:24,webcreativa,1798,https://www.uniremington.edu.co/la-rhs-incluida-en-la-plataforma-del-cvlac-de-colciencias/
40539,draft,La solución es dialogando,2021-08-18 13:41:58,masteruni,4727,https://www.uniremington.edu.co/?p=40539
35209,publish,Lanzamiento de libro sobre turismo,2020-11-19 15:32:10,masteruni,3896,https://www.uniremington.edu.co/lanzamiento-de-libro-sobre-turismo/
51432,draft,Las Mantas,2023-08-28 16:13:11,masteruni,2796,https://www.uniremington.edu.co/?p=51432
43171,publish,Las representaciones de la ciudad,2022-03-17 16:20:28,masteruni,4410,https://www.uniremington.edu.co/las-representaciones-de-la-ciudad/
46717,publish,Legislación y gestión ambiental para empresarios,2022-09-20 19:05:07,masteruni,7863,https://www.uniremington.edu.co/legislacion-y-gestion-ambiental-para-empresarios/
41961,publish,Libro sobre enseñanza virtual,2021-11-26 15:15:06,masteruni,5897,https://www.uniremington.edu.co/libro-sobre-ensenanza-virtual/
43264,publish,Libros del FER en el Book Citation Index,2022-03-30 16:15:21,masteruni,5894,https://www.uniremington.edu.co/libros-del-fer-en-el-book-citation-index/
22229,publish,Libros digitales del FER en el mercado,2019-07-29 16:19:16,webcreativa,5418,https://www.uniremington.edu.co/libros-digitales-del-fer-en-el-mercado/
47594,publish,Listado definitivo de candidatos para Órganos colegiados de Uniremington,2022-11-01 20:34:20,masteruni,8980,https://www.uniremington.edu.co/listado-definitivo-de-candidatos-para-organos-colegiados-de-uniremington/
42487,publish,Lo que debes saber sobre ómicron,2022-02-03 21:46:45,masteruni,1727,https://www.uniremington.edu.co/lo-que-debes-saber-sobre-omicron/
38950,publish,Los adultos mayores y la terapia de la risa,2021-05-10 21:04:06,masteruni,3809,https://www.uniremington.edu.co/los-adultos-mayores-y-la-terapia-de-la-risa/
