post_id,status,title,date,author,content_chars,link
48638,publish,Perú y su influencia en Latinoamérica,2023-02-21 20:15:57,masteruni,3561,https://www.uniremington.edu.co/evento/peru-y-su-influencia-en-latinoamerica/
33375,publish,Photoshop a tu alcance,2020-09-21 13:30:26,masteruni,4733,https://www.uniremington.edu.co/evento/photoshop-a-tu-alcance/
56996,draft,Planeación y ordenamiento territorial en contexto,2024-06-19 13:38:14,webcreativa,610,https://www.uniremington.edu.co/?post_type=tribe_events&p=56996
42013,publish,Postúlate a reconocimiento de excelencia,2021-12-06 14:33:21,masteruni,8343,https://www.uniremington.edu.co/evento/postulate-a-reconocimiento-de-excelencia/
37707,publish,Potenciar tu idea de negocio está a tu alcance,2021-03-08 19:18:04,masteruni,7527,https://www.uniremington.edu.co/evento/potenciar-tu-idea-de-negocio-esta-a-tu-alcance/
43399,publish,Practica tu habilidad de escucha del inglés,2022-04-04 16:39:08,masteruni,10521,https://www.uniremington.edu.co/evento/practica-tu-habilidad-de-escucha-del-ingles/
27757,publish,Practicas de excelencia en la gobernación de antioquia,2020-03-31 14:22:56,masteruni,3865,https://www.uniremington.edu.co/evento/practicas-de-excelencia-en-la-gobernacion-de-antioquia/
30096,publish,Premios a la excelencia académica Uniremington,2020-05-18 15:09:09,masteruni,12004,https://www.uniremington.edu.co/evento/premios-a-la-excelencia-academica-uniremington/
30457,publish,Prepárate para el Certified Ethical Hacker (CEH),2020-06-03 19:08:04,webcreativa,3946,https://www.uniremington.edu.co/evento/preparate-para-el-certified-ethical-hacker-ceh/
38812,draft,Prepárate para las pruebas Saber TyT,2021-04-30 13:15:54,masteruni,102,https://www.uniremington.edu.co/?post_type=tribe_events&p=38812
38813,publish,Prepárate para las pruebas Saber TyT,2021-05-03 15:52:53,masteruni,7602,https://www.uniremington.edu.co/evento/preparate-para-las-pruebas-saber-tyt/
27049,publish,Prevención de Enfermedades Respiratorias como el Coronavirus,2020-03-05 16:57:28,masteruni,2103,https://www.uniremington.edu.co/evento/prevencion-de-enfermedades-respiratorias-como-el-coronavirus/
45037,publish,Prevención de sobornos y actos de corrupción,2022-06-13 20:03:15,masteruni,7758,https://www.uniremington.edu.co/evento/prevencion-de-sobornos-y-actos-de-corrupcion/
39590,publish,Prevención y gestión de los delitos corporativos,2021-05-31 20:53:19,masteruni,6540,https://www.uniremington.edu.co/evento/prevencion-y-gestion-de-los-delitos-corporativos/
32109,publish,Primer módulo: Infraestructura vial,2020-07-31 16:41:02,masteruni,4694,https://www.uniremington.edu.co/evento/primer-modulo-infraestructura-vial/
22164,publish,Primer Simposio de Asistencia Integral al Adulto Mayor,2019-07-26 13:59:06,webcreativa,1621,https://www.uniremington.edu.co/evento/primer-simposio-de-asistencia-integral-al-adulto-mayor/
38491,publish,Primeros auxilios en sexualidad,2021-04-12 16:56:05,masteruni,3953,https://www.uniremington.edu.co/evento/primeros-auxilios-en-sexualidad/
25985,publish,Proceso de Atención de enfermería- PAE,2020-01-22 22:45:47,masteruni,1969,https://www.uniremington.edu.co/evento/proceso-de-atencion-de-enfermeria-pae/
39576,draft,Proceso para una fotografía de producto,2021-05-31 19:29:13,masteruni,0,https://www.uniremington.edu.co/?post_type=tribe_events&p=39576
39577,publish,Proceso para una fotografía de producto,2021-05-31 19:56:17,masteruni,5435,https://www.uniremington.edu.co/evento/proceso-para-una-fotografia-de-producto/
24616,publish,Procesos de atención de enfermería 2019-2,2019-10-08 13:34:49,webcreativa,2570,https://www.uniremington.edu.co/evento/procesos-de-atencion-de-enfermeria-2019-2/
31099,draft,Profundiza en la conciliación en Derecho,2020-06-19 20:50:41,webcreativa,2249,https://www.uniremington.edu.co/?post_type=tribe_events&p=31099
31108,draft,Profundiza en la conciliación en Derecho,2020-06-19 21:47:57,masteruni,2495,https://www.uniremington.edu.co/?post_type=tribe_events&p=31108
42880,publish,Profundizando en la psiquiatría y las neurociencias,2022-02-28 13:42:43,masteruni,8908,https://www.uniremington.edu.co/evento/ahondando-en-la-psiquiatria-y-las-neurociencias/
35157,publish,Programa de crédito del Icetex,2020-11-17 15:49:14,masteruni,3381,https://www.uniremington.edu.co/evento/programa-de-credito-del-icetex/
32066,publish,Programa de crédito del Icetex  Educación en línea para las regiones,2020-07-29 21:08:49,masteruni,1348,https://www.uniremington.edu.co/evento/programa-de-credito-del-icetex-educacion-en-linea-para-las-regiones/
27273,publish,Programación Web con Angular 9 y Firebase 7,2020-03-13 22:12:28,masteruni,2885,https://www.uniremington.edu.co/evento/programacion-web-con-angular-9-y-firebase-7/
37272,publish,Promoción de la investigación formativa,2021-02-25 22:15:52,masteruni,4192,https://www.uniremington.edu.co/evento/promocion-de-la-investigacion-formativa/
20340,publish,Prospectiva de los negocios – Curso virtual,2019-07-02 21:08:05,webcreativa,1508,https://www.uniremington.edu.co/evento/prospectiva-de-los-negocios-curso-virtual/
33561,draft,Proyección del departamento del Quindío,2020-09-17 15:25:12,webcreativa,3908,https://www.uniremington.edu.co/?post_type=tribe_events&p=33561
31678,draft,prueba 3,2020-07-13 15:21:25,webcreativa,1058,https://www.uniremington.edu.co/?post_type=tribe_events&p=31678
33389,publish,Prácticas de Excelencia y Específica 2020-1,2020-09-17 20:27:45,masteruni,3082,https://www.uniremington.edu.co/evento/practicas-de-excelencia-y-especifica-2020-1/
32103,draft,Puntos de vista sobre el teletrabajo,2020-07-30 15:36:04,masteruni,2828,https://www.uniremington.edu.co/?post_type=tribe_events&p=32103
32117,publish,Puntos de vista sobre el teletrabajo,2020-08-04 20:44:39,masteruni,2548,https://www.uniremington.edu.co/evento/puntos-de-vista-sobre-el-teletrabajo/
39311,draft,"Purificación, desintoxicación y liberación de sentimientos",2021-05-24 13:32:51,masteruni,5000,https://www.uniremington.edu.co/?post_type=tribe_events&p=39311
31084,publish,Pymes en el marco de las NIC-NIIF,2020-06-23 14:50:33,masteruni,4119,https://www.uniremington.edu.co/evento/pymes-en-el-marco-de-las-nic-niif/
33470,publish,Quinto módulo - Movilidad y transporte,2020-09-23 20:01:26,masteruni,7509,https://www.uniremington.edu.co/evento/quinto-modulo-movilidad-y-transporte/
43566,publish,Realidad sobre alimentos de origen animal,2022-04-18 14:24:35,masteruni,12433,https://www.uniremington.edu.co/evento/realidad-sobre-alimentos-de-origen-animal/
59928,publish,Reconocimiento a la Excelencia con Impacto Social,2024-11-12 14:59:14,webcreativa,10285,https://www.uniremington.edu.co/evento/reconocimiento-a-la-excelencia-con-impacto-social/
38225,draft,Reconocimiento y medición de grupos de investigación,2021-03-19 21:17:37,masteruni,0,https://www.uniremington.edu.co/?post_type=tribe_events&p=38225
52877,draft,Reconocimientos a la Excelencia con Impacto Social,2023-10-31 16:47:47,webcreativa,4941,https://www.uniremington.edu.co/?post_type=tribe_events&p=52877
51167,publish,Reflexiones sobre la violencia contra la mujer,2023-08-16 13:41:44,masteruni,5142,https://www.uniremington.edu.co/evento/reflexiones-sobre-la-violencia-contra-la-mujer/
32263,draft,Reflexión sobre el amor propio y el propósito de vida,2020-08-12 22:40:33,masteruni,3582,https://www.uniremington.edu.co/?post_type=tribe_events&p=32263
43547,publish,Rehabilitación de fauna silvestre,2022-04-08 20:13:22,masteruni,9918,https://www.uniremington.edu.co/evento/rehabilitacion-de-fauna-silvestre/
54695,publish,Reinducción de estudiantes de Contaduría Pública,2024-01-30 17:27:23,webcreativa,3450,https://www.uniremington.edu.co/evento/reinduccion-de-estudiantes-de-contaduria-publica/
55611,publish,Rendición de cuentas Uniremington 2023,2024-04-03 19:55:47,webcreativa,2389,https://www.uniremington.edu.co/evento/rendicion-de-cuentas-uniremington-2023/
39408,publish,"Renta básica, derecho humano y alimentación",2021-05-25 20:07:58,masteruni,5240,https://www.uniremington.edu.co/evento/renta-basica-derecho-humano-y-alimentacion/
29854,publish,Repensemos nuestra vivencia en casa “Postales de cuarentena”,2020-05-12 19:19:53,masteruni,5329,https://www.uniremington.edu.co/evento/repensemos-nuestra-vivencia-en-casa-postales-de-cuarentena/
43246,publish,Requerimientos nutricionales de los bovinos,2022-03-28 23:07:09,masteruni,7751,https://www.uniremington.edu.co/evento/requerimientos-nutricionales-de-los-bovinos/
44861,publish,Resolución de conflictos y mediación,2022-06-08 15:31:55,masteruni,12375,https://www.uniremington.edu.co/evento/resolucion-de-conflictos-y-mediacion/
37814,publish,Responsabilidad social empresarial  y desarrollo sostenible,2021-03-15 13:15:57,masteruni,3839,https://www.uniremington.edu.co/evento/responsabilidad-social-empresarial-y-desarrollo-sostenible/
32120,draft,Retos del Derecho en tiempos del covid-19”,2020-07-31 00:12:20,masteruni,764,https://www.uniremington.edu.co/?post_type=tribe_events&p=32120
33762,draft,Retos futuros del ecosistema emprendedor,2020-09-24 19:53:00,masteruni,2792,https://www.uniremington.edu.co/?post_type=tribe_events&p=33762
37277,publish,Retos para la construcción de un sistema acusatorio,2021-02-18 14:55:31,masteruni,3915,https://www.uniremington.edu.co/evento/retos-para-la-construccion-de-un-sistema-acusatorio/
55122,publish,Reuniones con representantes estudiantiles,2024-02-26 22:26:58,webcreativa,2453,https://www.uniremington.edu.co/evento/reuniones-con-representantes-estudiantiles/
38927,draft,Riesgos de explotación sexual en internet,2021-05-06 15:15:52,masteruni,1829,https://www.uniremington.edu.co/?post_type=tribe_events&p=38927
38928,publish,Riesgos de explotación sexual en internet,2021-05-07 15:44:35,masteruni,3690,https://www.uniremington.edu.co/evento/riesgos-de-explotacion-sexual-en-internet/
31069,publish,Riesgos de lavados de activos y estados financieros,2020-06-25 19:38:16,webcreativa,3364,https://www.uniremington.edu.co/evento/riesgos-de-lavados-de-activos-y-estados-financieros/
33825,publish,Ruta de formación docente Curso virtual Pruebas Saber Pro,2020-10-01 14:30:06,masteruni,2529,https://www.uniremington.edu.co/evento/ruta-de-formacion-docente-curso-virtual-pruebas-saber-pro/
54792,publish,Ruta de Formación Profesional - 2024,2024-02-07 13:22:17,webcreativa,3662,https://www.uniremington.edu.co/evento/ruta-de-formacion-profesional-2024/
35045,publish,Salud sexual y reproductiva,2020-11-17 21:06:56,masteruni,2799,https://www.uniremington.edu.co/evento/salud-sexual-y-reproductiva/
43134,publish,SARLAFT - SAGRILAFT en las organizaciones,2022-03-14 14:05:01,masteruni,9493,https://www.uniremington.edu.co/evento/sarlaft-sagrilaft-en-las-organizaciones/
31271,publish,Sarlaft y prevención de lavado de activos,2020-07-01 23:20:52,masteruni,4339,https://www.uniremington.edu.co/evento/sarlaft-y-prevencion-de-lavado-de-activos/
29914,publish,Sede Uniremington Montería - Cursos vacacionales de inglés,2020-05-14 13:44:19,webcreativa,3292,https://www.uniremington.edu.co/evento/uniremington-monteria-cursos-de-ingles/
27976,draft,Segunda capacitación virtual Tus libros favoritos a un solo clic,2020-04-13 21:24:20,masteruni,934,https://www.uniremington.edu.co/?post_type=tribe_events&p=27976
43061,publish,Segunda edición de Paseo por la literatura,2022-03-09 13:35:08,masteruni,5100,https://www.uniremington.edu.co/evento/segunda-edicion-de-paseo-por-la-literatura/
23336,publish,Segunda Feria del Emprendimiento Uniremington 2019,2019-09-19 21:47:58,webcreativa,2854,https://www.uniremington.edu.co/evento/segunda-feria-del-emprendimiento-uniremington-2019/
30348,publish,Segundo conversatorio Gestión de las operaciones alimentarias,2020-06-18 13:56:16,masteruni,3657,https://www.uniremington.edu.co/evento/segundo-conversatorio-gestion-de-las-operaciones-alimentarias/
27358,draft,Segundo Encuentro de Actualización en Ciencias de la Salud  Sexta Actualización en Enfermería,2020-03-17 20:51:09,webcreativa,3216,https://www.uniremington.edu.co/?post_type=tribe_events&p=27358
